requirement_id,primary_plan,task,verification
R01,2026-09-11-rehla-platform-build.md,Program baseline,release readiness review
R02,2026-09-11-rehla-platform-build.md,Program baseline,R63 end-to-end gate
R03,2026-09-11-rehla-platform-build.md,Program baseline,architecture acceptance
R04,2026-09-11-rehla-platform-build.md,Atomic acceptance register,AcceptanceRegisterTest
R05,2026-09-11-rehla-platform-build.md,Atomic acceptance register,AcceptanceRegisterTest
R06,2026-09-11-rehla-platform-build.md,File boundaries and plan suite,package and end-to-end gates
R07,2026-09-11-rehla-03-catalog-forms-content.md,Task 1: Service Catalog and Price History,ServiceLifecycleTest
R08,2026-09-11-rehla-03-catalog-forms-content.md,Task 2: Draft and Published Form Versions,FieldValidationTest
R09,2026-09-11-rehla-03-catalog-forms-content.md,Task 2: Draft and Published Form Versions,PublishedFormImmutabilityTest
R10,2026-09-11-rehla-07-interfaces-operations-release.md,Task 1: Public Web Authentication and Account Shell,AccountIsolationTest
R11,2026-09-11-rehla-02-identity-platform-services.md,Task 4: Travelers and Passport Uniqueness,TravelerOwnershipTest
R12,2026-09-11-rehla-02-identity-platform-services.md,Task 4: Travelers and Passport Uniqueness,PassportUniquenessTest
R13,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 1: Immutable Paid Order and Snapshots,OrderImmutabilityTest
R14,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 5: Atomic and Idempotent SubmitOrder,SubmitOrderTest
R15,2026-09-11-rehla-04-wallet-topups.md,Task 1: Wallet and Append-only Ledger,WalletLedgerTest
R16,2026-09-11-rehla-04-wallet-topups.md,Task 2: Bank Accounts and Top-up Submission,SubmitTopUpTest
R17,2026-09-11-rehla-04-wallet-topups.md,Task 2: Bank Accounts and Top-up Submission,BankAccountTest
R18,2026-09-11-rehla-04-wallet-topups.md,Task 2: Bank Accounts and Top-up Submission,SubmitTopUpTest
R19,2026-09-11-rehla-04-wallet-topups.md,Task 3: Atomic Approval and Rejection,ApproveTopUpTest
R20,2026-09-11-rehla-04-wallet-topups.md,Task 3: Atomic Approval and Rejection,ConcurrentApprovalTest
R21,2026-09-11-rehla-04-wallet-topups.md,Task 3: Atomic Approval and Rejection,RejectTopUpTest
R22,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 5: Atomic and Idempotent SubmitOrder,SubmitOrderTest
R23,2026-09-11-rehla-07-interfaces-operations-release.md,Task 1: Public Web Authentication and Account Shell,PublicWebTest
R24,2026-09-11-rehla-06-reporting-integrations.md,Task 3: Integration Adapters and WhatsApp Inquiry Contract,WhatsAppInquiryLinkTest
R25,2026-09-11-rehla-07-interfaces-operations-release.md,Task 2: Web Top-up Purchase and Order Tracking Journeys,PurchaseJourneyTest
R26,2026-09-11-rehla-07-interfaces-operations-release.md,Task 2: Web Top-up Purchase and Order Tracking Journeys,PurchaseJourneyTest
R27,2026-09-11-rehla-03-catalog-forms-content.md,Task 2: Draft and Published Form Versions,FieldValidationTest
R28,2026-09-11-rehla-07-interfaces-operations-release.md,Task 2: Web Top-up Purchase and Order Tracking Journeys,PurchaseJourneyTest
R29,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 5: Atomic and Idempotent SubmitOrder,SubmitOrderTest
R30,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 5: Atomic and Idempotent SubmitOrder,SubmitOrderTest
R31,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 5: Atomic and Idempotent SubmitOrder,SubmitOrderConcurrencyTest
R32,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 5: Atomic and Idempotent SubmitOrder,SubmitOrderRollbackTest
R33,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 1: Immutable Paid Order and Snapshots,OrderImmutabilityTest
R34,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 3: Fulfillment State Machine and Execution Creation,CreateExecutionTest
R35,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Tasks 1 and 3,Order and execution separation tests
R36,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 3: Fulfillment State Machine and Execution Creation,ExecutionStateMachineTest
R37,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 4: Customer Action Requests and Responses,CustomerActionResponseTest
